alias,n_iniciativas
La Calera → Calera,18
Llay Llay → Llaillay,15
Trehuaco → Treguaco,8
Pedro A. Cerda → Pedro Aguirre Cerda,7
PEDRO A CERDA → Pedro Aguirre Cerda,6
Marchihue → Marchigüe,4
San Vicente De Tagua Tagua → San Vicente,4
Montepatria → Monte Patria,2
Peumanque → Pumanque,2
San Francisco de Mostazal → Mostazal,2
Quinta Tilcoco → Quinta de Tilcoco,2
Chimborongo → Chimbarongo,2
Ohiggins → O'Higgins,2
Antártica → Cabo de Hornos,2
Antartica → Cabo de Hornos,2
Antofgagasta → Antofagasta,1
Lican Ray → Villarrica,1
BARNECHEA → Lo Barnechea,1
Pedro A Cerda → Pedro Aguirre Cerda,1
Barnechea → Lo Barnechea,1
Con con → Concón,1
STA BAARBARA → Santa Bárbara,1
Liquiñe → Panguipulli,1
San Jose de la Mariquina → Mariquina,1
Chilán → Chillán,1
Treguaco - Region Del Ñuble → Treguaco,1
Trehuaco - Region Del Ñuble → Treguaco,1
