region,valor_original,n_iniciativas,categoria,comunas_matcheadas(cut),nota
I,Iquique,24,match_directo,Iquique:1101,
I,Alto Hospicio,13,match_directo,Alto Hospicio:1107,
I,Iquique;Alto Hospicio,7,multi_completo,Iquique:1101; Alto Hospicio:1107,
I,Colchane,6,match_directo,Colchane:1403,
I,Pica,3,match_directo,Pica:1405,
I,Pozo Almonte,2,match_directo,Pozo Almonte:1401,
I,Huara,2,match_directo,Huara:1404,
I,Camiña,2,match_directo,Camiña:1402,
I,Alto Hospicio;Iquique;Pica,1,multi_completo,Alto Hospicio:1107; Iquique:1101; Pica:1405,
I,Colchane;Camiña;Huara,1,multi_completo,Colchane:1403; Camiña:1402; Huara:1404,
I,Camiña;Colchane,1,multi_completo,Camiña:1402; Colchane:1403,
I,Huara;Pozo Almonte;Pica,1,multi_completo,Huara:1404; Pozo Almonte:1401; Pica:1405,
I,Huara;Colchane,1,multi_completo,Huara:1404; Colchane:1403,
II,Regional,70,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
II,Antofagasta,50,match_directo,Antofagasta:2101,
II,ANTOFAGASTA,35,match_directo,Antofagasta:2101,
II,Calama,19,match_directo,Calama:2201,
II,San Pedro de Atacama,17,match_directo,San Pedro de Atacama:2203,
II,CALAMA,16,match_directo,Calama:2201,
II,Tocopilla,10,match_directo,Tocopilla:2301,
II,SAN PEDRO DE ATACAMA,8,match_directo,San Pedro de Atacama:2203,
II,Taltal,7,match_directo,Taltal:2104,
II,TALTAL,7,match_directo,Taltal:2104,
II,Mejillones,6,match_directo,Mejillones:2102,
II,Alcance regional,4,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
II,MEJILLONES,4,match_directo,Mejillones:2102,
II,TOCOPILLA,4,match_directo,Tocopilla:2301,
II,Ollagüe,4,match_directo,Ollagüe:2202,
II,REGIONAL,3,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
II,Maria Elena,3,match_directo,María Elena:2302,
II,OLLAGUE,3,match_directo,Ollagüe:2202,
II,MARIA ELENA,3,match_directo,María Elena:2302,
II,Antofagasta;Tocopilla,2,multi_completo,Antofagasta:2101; Tocopilla:2301,
II,"Alcance regional (Sólo en comunas de Antofagasta, Calama y Tocopilla)",2,multi_completo,Antofagasta:2101; Calama:2201; Tocopilla:2301,extraído de paréntesis; 
II,"Antofagasta, Copiapó, Caldera, Chañaral,Taltal",2,multi_completo,Antofagasta:2101; Copiapó:3101; Caldera:3102; Chañaral:3201; Taltal:2104,Copiapó: OTRA REGIÓN (codregion 3); Caldera: OTRA REGIÓN (codregion 3); Chañaral: OTRA REGIÓN (codregion 3)
II,calama,2,match_directo,Calama:2201,
II,"Pozo Almonte, Sierra Gorda, María Elena",2,multi_completo,Pozo Almonte:1401; Sierra Gorda:2103; María Elena:2302,Pozo Almonte: OTRA REGIÓN (codregion 1)
II,Region de Antofagasta,2,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
II,"Antofagasta, Caldera",2,multi_completo,Antofagasta:2101; Caldera:3102,Caldera: OTRA REGIÓN (codregion 3)
II,"Sierra Gorda, Calama",2,multi_completo,Sierra Gorda:2103; Calama:2201,
II,"Alcance regional (Sólo en comunas Antofagasta, Calama, Tocopilla y San Pedro de Atacama)",1,multi_completo,Antofagasta:2101; Calama:2201; Tocopilla:2301; San Pedro de Atacama:2203,extraído de paréntesis; 
II,Antofagasta;Calama;Tocopilla,1,multi_completo,Antofagasta:2101; Calama:2201; Tocopilla:2301,
II,Calama-Tocopilla,1,multi_completo,Calama:2201; Tocopilla:2301,
II,Taltal-Antofagasta,1,multi_completo,Taltal:2104; Antofagasta:2101,
II,"Antofagasta, Calama, Taltal, Tocopilla, María Elena, San Pedro de Atacama",1,multi_completo,Antofagasta:2101; Calama:2201; Taltal:2104; Tocopilla:2301; María Elena:2302; San Pedro de Atacama:2203,
II,Antofgagasta,1,match_fuzzy_alias,Antofagasta:2101,
II,Alcance regional (Sólo en comunas de Antofagasta y Calama),1,multi_completo,Antofagasta:2101; Calama:2201,extraído de paréntesis; 
II,"Alcance regional (En todas las comunas de la región a excepción de Antofagasta, Mejillones y Taltal)",1,bucket_regional,,"sin comuna específica → bucket ""Alcance regional"""
II,Calama;Antofagasta,1,multi_completo,Calama:2201; Antofagasta:2101,
II,Calama;San Pedro de Atacama,1,multi_completo,Calama:2201; San Pedro de Atacama:2203,
II,"Antofagasta, Calama, Tocopilla",1,multi_completo,Antofagasta:2101; Calama:2201; Tocopilla:2301,
II,"Alcance regional (Sólo en Antofagasta, Calama y Tocopilla)",1,multi_completo,Antofagasta:2101; Calama:2201; Tocopilla:2301,extraído de paréntesis; 
